Name|Total rule apps|Nodes|Branches|Overall time (ms)|Automode time (ms)|Closed|Time per step (ms)|Total Runtime Memory (kB)
examples/newBook/09.list_modelfield/ArrayList.add.key|10775|9079|68|16742|16480|1|1.8153778314590454|88073
examples/newBook/09.list_modelfield/ArrayList.remFirst.key|3987|2915|43|3936|3833|1|1.3153740167617798|85517
examples/newBook/09.list_modelfield/ArrayList.empty.key|1181|965|30|912|837|1|0.8682572841644287|75092
examples/newBook/09.list_modelfield/ArrayList.size.key|577|481|14|411|349|1|0.7270833253860474|77642
examples/newBook/09.list_modelfield/ArrayList.get.key|1027|872|20|932|863|1|0.9908151626586914|82251
examples/standard_key/BookExamples/02FirstOrderLogic/Ex2.58.key|5|6|1|225|34|1|6.800000190734863|47035
examples/standard_key/BookExamples/03DynamicLogic/Sect3.3.1.key|277|131|4|428|375|1|2.884615421295166|61324
examples/heap/comprehensions/general_sum.key|35|16|1|422|237|1|15.800000190734863|49321
examples/heap/comprehensions/sum0.key|629|288|6|627|532|1|1.8536585569381714|66569
examples/heap/comprehensions/sum1.key|730|340|6|519|484|1|1.4277286529541016|71778
examples/heap/comprehensions/sum2.key|616|282|6|419|390|1|1.3879003524780273|75098
examples/heap/comprehensions/sum3.key|637|268|6|410|310|1|1.1610486507415771|79320
examples/heap/comprehensions/segsum.key|725|379|6|412|346|1|0.9153439402580261|84221
examples/heap/comprehensions/bsum_negative.key|14|15|1|107|8|1|0.5714285969734192|82484
examples/heap/comprehensions/bsum_neg2.key|7|8|1|108|4|1|0.5714285969734192|86100
examples/heap/comprehensions/bsumSplit.key|30|31|1|113|34|1|1.1333333253860474|90376
examples/heap/comprehensions/bprodSplit.key|33|34|1|107|14|1|0.42424243688583374|94684
examples/heap/comprehensions/bsumSplitInvalid.key|55|56|1|111|53|0|0.9636363387107849|99375
examples/performance-test/Disjoint(Disjoint__disjoint_08()).JML_operation_contract.0.key|2914|1034|33|2473|2231|1|2.15972900390625|90557
examples/performance-test/Disjoint(Disjoint__disjoint2_08()).JML_operation_contract.0.key|801|303|5|1021|948|1|3.139072895050049|148716
examples/performance-test/AccessChain1(AccessChain1__foo_08()).JML_operation_contract.0.key|4405|2024|49|2324|2269|1|1.1216015815734863|175448
examples/performance-test/AccessChain4(AccessChain4__foo_08()).JML_operation_contract.0.key|7776|4125|73|5946|5836|1|1.4151309728622437|195682
examples/performance-test/Disjoint(Disjoint__xZero_08()).JML_operation_contract.0.key|2799|991|33|915|893|1|0.9020202159881592|200633
examples/performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key|6718|3319|53|5193|5117|1|1.542194128036499|222923
examples/performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key|7384|4117|71|4224|4122|1|1.001457691192627|238286
examples/performance-test/GhostFrame(GhostFrame__foo_08()).JML_operation_contract.0.key|3893|1600|49|1955|1884|1|1.1782363653182983|249644
examples/performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key|5091|2534|53|3041|2927|1|1.15554678440094|264925
examples/performance-test/Test(Test__a0(int)).JML_normal_behavior_operation_contract.0.key|58|30|3|454|246|1|8.482758522033691|82021
examples/performance-test/Test(Test__a1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|423|370|1|2.7611939907073975|149978
examples/performance-test/Test(Test__f1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|225|197|1|1.470149278640747|164830
examples/heap/polarity_tests/wellformed1.key|3|4|1|226|26|1|8.666666984558105|46943
examples/heap/polarity_tests/wellformed2.key|1|2|1|122|12|0|12.0|59958
examples/heap/polarity_tests/wellformed3.key|8|8|1|115|12|1|1.7142857313156128|57544
examples/heap/polarity_tests/wellformed4.key|6|7|2|111|13|0|2.1666667461395264|66104
examples/heap/polarity_tests/wellformed5.key|4|5|1|113|4|1|1.0|63611
examples/heap/polarity_tests/wellformed6.key|7|8|2|113|18|0|2.5714285373687744|72161
examples/heap/polarity_tests/wellformed7.key|5|6|1|112|5|1|1.0|69700
examples/heap/polarity_tests/wellformed8.key|12|13|3|108|30|0|2.5|78279
examples/heap/polarity_tests/wellformed9.key|5|6|1|109|4|1|0.800000011920929|75777
examples/heap/polarity_tests/wellformed10.key|12|13|3|110|18|0|1.5|84338
examples/heap/polarity_tests/wellformed11.key|4|5|2|108|13|0|3.25|81982
examples/heap/block_contracts/Simple__add.key|346|122|6|741|589|1|4.86776876449585|53791
examples/heap/block_contracts/Simple__addAbsoluteValues.key|1479|797|26|930|888|1|1.1155779361724854|78087
examples/heap/block_contracts/Simple__addWithJump.key|383|120|6|215|127|1|1.0672268867492676|82659
examples/heap/block_contracts/Simple__addWithTwoBlockContracts.key|548|187|7|211|195|1|1.048387050628662|82010
examples/heap/block_contracts/Simple__generateByteArray.key|3269|2213|75|2017|1918|1|0.8670886158943176|97398
examples/heap/block_contracts/Simple__getLength.key|64|30|3|111|18|1|0.6206896305084229|99399
examples/heap/block_contracts/Simple__square.key|837|342|9|312|278|1|0.8152492642402649|94749
examples/heap/block_contracts/Simple__unnecessaryBlockContract.key|219|88|7|108|47|1|0.540229856967926|101806
examples/heap/block_contracts/Simple__unnecessaryLoopInvariant.key|68|43|5|108|27|1|0.6428571343421936|101772
examples/standard_key/java_dl/jml-assert/assert.key|372|192|5|211|153|1|0.801047146320343|105386
examples/standard_key/java_dl/jml-assert/assert_assume_order.key|73|38|2|108|20|1|0.5405405163764954|107111
examples/heap/block_loop_contracts/SimpleVariants/sum_onBlock_external.key|273|84|3|108|74|1|0.891566276550293|122801
examples/heap/block_loop_contracts/SimpleVariants/sum_onBlock_internal.key|1252|377|7|613|572|1|1.521276593208313|135242
examples/heap/block_loop_contracts/SimpleVariants/sum_onBlock_loop.key|1423|419|7|709|665|1|1.5909091234207153|139960
examples/heap/block_loop_contracts/SimpleVariants/sum_onLoop_external.key|273|84|3|107|68|1|0.8192771077156067|144670
examples/heap/block_loop_contracts/SimpleVariants/sum_onLoop_internal.key|1252|377|7|610|506|1|1.3457447290420532|147598
examples/heap/block_loop_contracts/SimpleVariants/sum_onLoop_loop.key|1423|419|7|709|636|1|1.521531105041504|158696
examples/heap/block_loop_contracts/Free/blockContracts0.key|200|88|4|107|56|1|0.6436781883239746|156280
examples/heap/block_loop_contracts/Free/blockContracts1.key|176|83|4|109|48|1|0.5853658318519592|152093
examples/heap/block_loop_contracts/Finally/block_finally.key|1057|496|16|512|437|0|0.8828282952308655|156274
examples/heap/block_loop_contracts/Finally/loop_finally.key|1148|511|20|616|514|0|1.0078431367874146|159129
examples/standard_key/java_dl/jml-assert/assert.key|372|192|5|905|798|1|4.1780104637146|51554
examples/heap/block_loop_contracts/Free/assertions0.key|128|63|2|120|79|1|1.274193525314331|63681
examples/heap/block_loop_contracts/Free/assertions1.key|31|16|1|111|21|1|1.399999976158142|75910
examples/standard_key/java_dl/jml-assert/recursion-assert.key|299|162|10|212|142|1|0.8819875717163086|82275
examples/standard_key/java_dl/jml-assert/recursion-assume.key|297|160|9|210|122|1|0.7672955989837646|87979
examples/standard_key/java_dl/jml-assert/quantor-assert.key|139|96|4|111|74|1|0.7789473533630371|92036
examples/standard_key/java_dl/jml-assert/quantor-assume.key|116|75|3|109|58|1|0.7837837934494019|96494
examples/standard_key/java_dl/jml-assert/model-methods-static-static.key|45|30|4|111|14|1|0.48275861144065857|100428
examples/standard_key/java_dl/jml-assert/model-methods-instance-static.key|64|44|6|108|20|1|0.4651162922382355|105147
examples/standard_key/java_dl/jml-assert/model-methods-instance-instance.key|84|52|6|109|26|1|0.5098039507865906|109809
examples/standard_key/java_dl/jml-assert/model-methods-static-instance.key|211|117|5|108|85|1|0.732758641242981|110789
examples/standard_key/java_dl/jml-assert/assert-old/inc-field.key|211|95|4|208|105|1|1.1170213222503662|115091
examples/standard_key/java_dl/jml-assert/assert-old/inc-parameter.key|133|69|4|107|38|1|0.5588235259056091|122416
examples/standard_key/java_dl/jml-assert/assert-old/inc-parameter-field.key|258|112|6|107|91|1|0.8198198080062866|127388
examples/standard_key/java_dl/jml-assert/assert-old/inc-ghost-field.key|212|96|4|208|109|1|1.1473684310913086|131364
examples/heap/javacard/updateBalance0.key|690|369|8|1309|1183|1|3.2146739959716797|44791
examples/heap/javacard/updateBalance1.key|663|334|8|621|525|1|1.576576590538025|48777
examples/heap/javacard/setArray1.key|1743|570|11|1014|996|1|1.7504394054412842|53339
examples/heap/javacard/setArray2.key|1934|641|13|1114|1008|1|1.5750000476837158|54340
