Name|Total rule apps|Nodes|Branches|Overall time (ms)|Automode time (ms)|Closed|Time per step (ms)|Total Runtime Memory (kB)
examples/index/.././newBook/09.list_modelfield/ArrayList.add.key|10407|8755|66|23619|23256|1|2.656614065170288|89569
examples/index/.././newBook/09.list_modelfield/ArrayList.remFirst.key|3894|2827|43|5680|5618|1|1.9879688024520874|86701
examples/index/.././newBook/09.list_modelfield/ArrayList.empty.key|1215|997|30|1351|1293|1|1.2981927394866943|76292
examples/index/.././newBook/09.list_modelfield/ArrayList.size.key|555|461|14|614|523|1|1.1369565725326538|73953
examples/index/.././newBook/09.list_modelfield/ArrayList.get.key|1007|854|20|1314|1236|1|1.4490034580230713|83245
examples/index/.././standard_key/BookExamples/02FirstOrderLogic/Ex2.58.key|5|6|1|377|123|1|24.600000381469727|47823
examples/index/.././standard_key/BookExamples/03DynamicLogic/Sect3.3.1.key|277|131|4|631|591|1|4.546154022216797|57948
examples/index/.././heap/comprehensions/general_sum.key|35|16|1|616|311|1|20.733333587646484|50156
examples/index/.././heap/comprehensions/sum0.key|629|288|6|1225|1113|1|3.878048896789551|63116
examples/index/.././heap/comprehensions/sum1.key|727|337|6|923|820|1|2.440476179122925|68370
examples/index/.././heap/comprehensions/sum2.key|616|282|6|613|551|1|1.9608540534973145|71660
examples/index/.././heap/comprehensions/sum3.key|637|268|6|614|505|1|1.891385793685913|75883
examples/index/.././heap/comprehensions/segsum.key|725|379|6|613|548|1|1.449735403060913|80789
examples/index/.././heap/comprehensions/bsum_negative.key|14|15|1|109|12|1|0.8571428656578064|78962
examples/index/.././heap/comprehensions/bsum_neg2.key|7|8|1|108|5|1|0.7142857313156128|82818
examples/index/.././heap/comprehensions/bsumSplit.key|30|31|1|108|52|1|1.7333333492279053|87075
examples/index/.././heap/comprehensions/bprodSplit.key|33|34|1|111|53|1|1.6060606241226196|91392
examples/index/.././heap/comprehensions/bsumSplitInvalid.key|55|56|1|112|64|0|1.163636326789856|96102
examples/index/.././performance-test/Disjoint(Disjoint__disjoint_08()).JML_operation_contract.0.key|2914|1034|33|3944|3682|1|3.564375638961792|91250
examples/index/.././performance-test/Disjoint(Disjoint__disjoint2_08()).JML_operation_contract.0.key|801|303|5|1123|1093|1|3.6192052364349365|123966
examples/index/.././performance-test/AccessChain1(AccessChain1__foo_08()).JML_operation_contract.0.key|4405|2023|49|3511|3402|1|1.6824926137924194|150749
examples/index/.././performance-test/AccessChain4(AccessChain4__foo_08()).JML_operation_contract.0.key|7745|4099|73|8544|8481|1|2.0695462226867676|170911
examples/index/.././performance-test/Disjoint(Disjoint__xZero_08()).JML_operation_contract.0.key|2799|991|33|1315|1284|1|1.2969696521759033|175912
examples/index/.././performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key|13002|10285|285|20367|20331|0|1.976954460144043|237565
examples/index/.././performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key|7384|4116|71|6154|6071|1|1.4753341674804688|206416
examples/index/.././performance-test/GhostFrame(GhostFrame__foo_08()).JML_operation_contract.0.key|3893|1600|49|2711|2676|1|1.6735459566116333|217472
examples/index/.././performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key|13335|11108|304|16965|16913|0|1.522733449935913|260403
examples/index/.././performance-test/Test(Test__a0(int)).JML_normal_behavior_operation_contract.0.key|58|30|3|427|288|1|9.931034088134766|82769
examples/index/.././performance-test/Test(Test__a1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|628|543|1|4.052238941192627|125191
examples/index/.././performance-test/Test(Test__f1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|317|222|1|1.6567164659500122|140027
examples/index/.././heap/polarity_tests/wellformed1.key|3|4|1|266|56|1|18.66666603088379|47722
examples/index/.././heap/polarity_tests/wellformed2.key|1|2|1|128|34|0|34.0|56642
examples/index/.././heap/polarity_tests/wellformed3.key|8|8|1|115|15|1|2.142857074737549|58507
examples/index/.././heap/polarity_tests/wellformed4.key|6|7|2|112|18|0|3.0|62758
examples/index/.././heap/polarity_tests/wellformed5.key|4|5|1|113|12|1|3.0|64564
