Name|Total rule apps|Nodes|Branches|Overall time (ms)|Automode time (ms)|Closed|Time per step (ms)|Total Runtime Memory (kB)
examples/index/.././newBook/09.list_modelfield/ArrayList.add.key|9532|7981|65|15415|15236|1|1.9092731475830078|85630
examples/index/.././newBook/09.list_modelfield/ArrayList.remFirst.key|3527|2491|43|3849|3730|1|1.497991919517517|85950
examples/index/.././newBook/09.list_modelfield/ArrayList.empty.key|1183|967|30|1036|938|1|0.9710144996643066|75939
examples/index/.././newBook/09.list_modelfield/ArrayList.size.key|577|481|14|414|403|1|0.8395833373069763|73769
examples/index/.././newBook/09.list_modelfield/ArrayList.get.key|1026|871|20|926|878|1|1.0091954469680786|82981
examples/index/.././standard_key/BookExamples/02FirstOrderLogic/Ex2.58.key|5|6|1|202|61|1|12.199999809265137|47199
examples/index/.././standard_key/BookExamples/03DynamicLogic/Sect3.3.1.key|277|131|4|420|378|1|2.9076921939849854|57633
examples/index/.././heap/comprehensions/general_sum.key|35|16|1|395|253|1|16.866666793823242|49517
examples/index/.././heap/comprehensions/sum0.key|629|288|6|723|619|1|2.156794309616089|62791
examples/index/.././heap/comprehensions/sum1.key|730|340|6|520|464|1|1.3687316179275513|67993
examples/index/.././heap/comprehensions/sum2.key|616|282|6|410|309|1|1.0996441841125488|71333
examples/index/.././heap/comprehensions/sum3.key|637|268|6|309|297|1|1.1123595237731934|75550
examples/index/.././heap/comprehensions/segsum.key|725|379|6|410|328|1|0.8677248954772949|80454
examples/index/.././heap/comprehensions/bsum_negative.key|14|15|1|109|8|1|0.5714285969734192|78659
examples/index/.././heap/comprehensions/bsum_neg2.key|7|8|1|107|4|1|0.5714285969734192|82468
examples/index/.././heap/comprehensions/bsumSplit.key|30|31|1|108|32|1|1.0666667222976685|86745
examples/index/.././heap/comprehensions/bprodSplit.key|33|34|1|107|14|1|0.42424243688583374|91040
examples/index/.././heap/comprehensions/bsumSplitInvalid.key|55|56|1|108|34|0|0.6181818246841431|95751
examples/index/.././performance-test/Disjoint(Disjoint__disjoint_08()).JML_operation_contract.0.key|2914|1034|33|2612|2496|1|2.4162633419036865|90822
examples/index/.././performance-test/Disjoint(Disjoint__disjoint2_08()).JML_operation_contract.0.key|801|303|5|930|890|1|2.9470198154449463|124251
examples/index/.././performance-test/AccessChain1(AccessChain1__foo_08()).JML_operation_contract.0.key|4405|2024|49|2450|2401|1|1.1868512630462646|150900
examples/index/.././performance-test/AccessChain4(AccessChain4__foo_08()).JML_operation_contract.0.key|7776|4125|73|6055|5997|1|1.4541707038879395|171047
examples/index/.././performance-test/Disjoint(Disjoint__xZero_08()).JML_operation_contract.0.key|2799|991|33|912|889|1|0.8979797959327698|176123
examples/index/.././performance-test/Dynamic(Dynamic__foo_08()).JML_operation_contract.0.key|6719|3320|53|5428|5320|1|1.6028923988342285|198331
examples/index/.././performance-test/DynamicGhost(DynamicGhost__dynamicGhost_08()).JML_normal_behavior_operation_contract.0.key|7384|4117|71|4236|4182|1|1.0160349607467651|213599
examples/index/.././performance-test/GhostFrame(GhostFrame__foo_08()).JML_operation_contract.0.key|3893|1600|49|1910|1856|1|1.160725474357605|225052
examples/index/.././performance-test/Modelfield(Modelfield__foo_08()).JML_operation_contract.0.key|5082|2525|53|2916|2880|1|1.1410459280014038|240261
examples/index/.././performance-test/Test(Test__a0(int)).JML_normal_behavior_operation_contract.0.key|58|30|3|402|297|1|10.241379737854004|82203
examples/index/.././performance-test/Test(Test__a1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|318|227|1|1.6940298080444336|125257
examples/index/.././performance-test/Test(Test__f1(int)).JML_normal_behavior_operation_contract.0.key|348|135|11|215|144|1|1.0746269226074219|140091
examples/index/.././heap/polarity_tests/wellformed1.key|3|4|1|193|43|1|14.333333015441895|47093
examples/index/.././heap/polarity_tests/wellformed2.key|1|2|1|116|9|0|9.0|56343
examples/index/.././heap/polarity_tests/wellformed3.key|8|8|1|118|13|1|1.8571428060531616|58212
examples/index/.././heap/polarity_tests/wellformed4.key|6|7|2|112|33|0|5.5|62458
examples/index/.././heap/polarity_tests/wellformed5.key|4|5|1|109|4|1|1.0|64267
examples/index/.././heap/polarity_tests/wellformed6.key|7|8|2|112|8|0|1.1428571939468384|68510
examples/index/.././heap/polarity_tests/wellformed7.key|5|6|1|110|5|1|1.0|70346
examples/index/.././heap/polarity_tests/wellformed8.key|12|13|3|120|11|0|0.9166666865348816|74608
examples/index/.././heap/polarity_tests/wellformed9.key|5|6|1|106|4|1|0.800000011920929|76415
